Каково русское название книги, из которой взят этот текст?;Python. Карманный справочник
Каково английское название книги?;Python Pocket Reference
"Кто автор книги ""Python. Карманный справочник""?";Марк Лутц (Mark Lutz)
"Какое издание книги ""Python. Карманный справочник""?";Пятое издание (Fifth Edition)
Какое издательство выпустило русскую версию книги?;Издательский дом “Вильямс”
Какое издательство выпустило оригинальную английскую версию книги?;O'REILLY
В каком году было выпущено русское издание книги?;2015
"Сколько страниц в книге ""Python. Карманный справочник""?";320 страниц
"Назовите русский ISBN книги ""Python. Карманный справочник""?";978-5-8459-1965-6
"Назовите английский ISBN книги ""Python Pocket Reference""?";978-1-449-35701-6
Кто выполнил перевод с английского и редакцию русского издания?;И.В. Берштейн
"Перечислите основные разделы книги ""Python. Карманный справочник"" (минимум 5).";Введение, Запуск программ на Python, Встроенные типы и операторы, Операторы и синтаксис, Объектно-ориентированное программирование, Методы перегрузки операторов, Встроенные функции, Встроенные исключения, Встроенные атрибуты, Стандартные библиотечные модули.
Какие темы рассматриваются в разделе 'Запуск программ на Python'?;Запуск программ на Python из командной строки, Параметры командной строки в Python, Переменные окружения Python, Запуск программ на Python в Windows.
Какие встроенные типы данных Python рассматриваются в книге?;Числа, Символьные строки, Символьные строки в уникоде, Списки, Словари, Кортежи, Файлы, Множества.
Какие категории операций Python упоминаются в разделе 'Встроенные типы и операторы'?;Операторы и их предшествование, Примечания к применению операторов, Категории операций.
Какие ключевые концепции, связанные с синтаксисом Python, описаны в книге?;Правила синтаксиса, Правила именования, Конкретные операторы, Правила обозначения пространств имен и областей действия.
Какие основные операторы Python перечислены в разделе 'Операторы и синтаксис' (минимум 5)?;Оператор присваивания, Оператор выражения, Оператор print, Условный оператор if, Оператор цикла while, Оператор цикла for, Оператор pass, Оператор break, Оператор continue, Оператор del, Оператор def, Оператор return, Оператор yield, Оператор global, Оператор nonlocal, Оператор import, Оператор from, Оператор class, Оператор try, Оператор raise, Оператор assert, Оператор with.
Какие аспекты объектно-ориентированного программирования в Python освещаются в книге?;Классы и экземпляры, Псевдозакрытые атрибуты, Классы нового стиля, Формальные правила наследования.
Какие типы методов рассматриваются в разделе 'Методы перегрузки операторов'?;Методы для всех видов операций, Методы для операций над коллекциями, Методы для числовых операций в двоичной форме, Методы для других операций над числами, Методы для операций с дескрипторами, Методы для операций с диспетчерами контекста.
В каких основных разделах книги рассматриваются встроенные возможности Python?;Встроенные функции, Встроенные исключения, Встроенные атрибуты.
Какой стандартный библиотечный модуль Python упомянут в содержании в качестве примера?;Модуль sys
Каково основное определение языка Python согласно справочнику?;Python — это язык общего назначения с открытым исходным кодом, применением множества парадигм, поддержкой структур объектно-ориентированного, функционального и процедурного программирования.
Для чего, как правило, применяется Python?;Как правило, он применяется для написания как автономных программ, так и сценариев в самых разных областях и обычно считается одним из самых широко употребляемых языков программирования во всем мире.
Какие характерные особенности Python выделяются в справочнике?;Акцент на удобочитаемости исходного кода и функциональных возможностях библиотек, а также конструкция, оптимизирующая производительность труда разработчика, качество программного обеспечения, переносимость программ и интеграцию их компонентов.
На каких платформах выполняются программы на Python?;Программы на Python выполняются на большинстве общеупотребительных платформ, включая Unix и Linux, Windows, Mac OS и ‚МЕТ, Android, iOS и пр.
Что рассматривается в карманном справочнике по Python?;В этом карманном справочнике вкратце рассматриваются типы данных и операторы языка Python, имена специальных методов, встроенные функции и исключения, общеупотребительные стандартные библиотечные модули и прочие примечательные языковые средства Python.
Какие версии Python рассматриваются в пятом издании справочника?;В пятом издании рассматриваются обе версии Python2.X и 3.Х.
По каким версиям Python обновлено пятое издание справочника?;Настоящее издание обновлено по версиям Python 2.7 и 3.3, а также наиболее примечательным усовершенствованиям в версии 3.4.
Какие основные реализации Python охватывает настоящее издание справочника?;Настоящее издание охватывает все основные реализации Python, в том числе CPython, PyPy, Jython, IronPython и Stackless.
Какие последние изменения в языке, библиотеках и практике программирования на Python упомянуты в справочнике?;Порядок разрешения методов (MRO) и функция super(), формальные алгоритмы наследования, импорт, диспетчеры контекста, расположение кодовых блоков с отступами, наиболее употребительные библиотечные модули и инструментальные средства, в том числе json, timeit, random, subprocess, enum, а также новое средство запуска программ в Windows.
Какие разделы включает описание модуля string?;Функции и классы, Константы.
Какие категории средств описываются в контексте модуля os?;Административные средства, Константы переносимости, Средства командной оболочки, Средства среды исполнения, Средства дескрипторов файлов, Средства имен путей к файлам, Управление процессами.
Какой подмодуль модуля os упомянут в тексте?;Модуль о5 . path.
Для чего используется модуль re?;Модуль re сопоставления по шаблонам.
Какие темы рассматриваются в рамках модуля re?;Функции из модуля re, Шаблонные объекты регулярных выражений, Совпадающие объекты, Синтаксис шаблонов.
Какие модули предназначены для сохраняемости объектов?;Модули shelve и dom, Модуль pickle.
Для чего используется модуль tkinter?;Модуль t kinter для построения ГПИ (графического пользовательского интерфейса).
Какие средства модуля tkinter описываются в справочнике?;Пример применения модуля tkinter, Базовые виджеты в модуле tkinter, Типичные средства создания диалоговых окон, Дополнительные классы и средства в модуле tkinter, Сопоставление модуля t kinter с библиотекой ТК на языке Tcl.
Какая категория модулей посвящена доступу к Интернету?;Модули и средства доступа к Интернету.
Какие модули относятся к категории 'Другие стандартные библиотечные модули'?;Модуль math, Модуль t ime, Модуль t imeit, Модуль datetime, Модуль random, Модуль 7 зоп, Модуль subprocess, Модуль enum, Модуль st ruct, Модули многопоточной обработки.
Какой интерфейс для баз данных SQL в Python упомянут в справочнике?;Прикладной интерфейс APl базы данных SQL в Python.
Какие объекты и средства описываются в контексте APl базы данных SQL в Python?;Пример применения прикладного интерфейса APl базы данных SQL, Интерфейсный модуль, Объекты подключения к базе данных, Объекты курсоров, Объекты типов и конструкторы.
Какие категории рекомендаций и идиом представлены в справочнике?;Общие рекомендации по языку, Рекомендации по среде исполнения, Рекомендации по применению, Разные рекомендации.
Что означает символ `[]` в форматах синтаксиса, согласно справочнику?;Элементы в квадратных скобках являются дополнительными, но не обязательными. Квадратные скобки используются буквально в некоторых частях синтаксиса Python, например, для обозначения списков.
Что означает символ `*` в форматах синтаксиса, согласно справочнику?;Элементы, следующие после знака звездочки, могут повторяться многократно или вообще не повторяться. Знак звездочки используется буквально в некоторых частях синтаксиса Python, например, для обозначения арифметической операции умножения.
Что означает конструкция `a | b` в форматах синтаксиса, согласно справочнику?;Элементы, разделяемые знаком прямой черты, являются альтернативными. Знак прямой черты используется буквально в некоторых частях синтаксиса Python, например, для обозначения операции логического сложения.
Что обозначает моноширинный прямой шрифт в справочнике по Python?;Обозначает исходный код, имена файлов, модулей, операторов, функций, атрибутов, переменных и методов.
Что обозначает моноширинный наклонный шрифт в справочнике по Python?;Обозначает имена заменяемых параметров в синтаксисе команд, вводимых из командной строки, выражений, функций и методов.
Что обозначает моноширинный полужирный шрифт в справочнике по Python?;Обозначает параметры и аргументы командной строки, а также команды Python, операторы, знаки и цифры там, где это уместно.
Что обозначает конструкция 'Function ()' в справочнике по Python?;Обозначает вызываемые функции и методы с завершающими круглыми скобками, чтобы отличать их от других типов атрибутов.
Что обозначает конструкция 'См. раздел “Заголовок раздела”' в справочнике по Python?;Обозначает ссылку на другие разделы этой книги с указанием их заголовков в двойных кавычках.
Что означают обозначения 2.X и 3.X в справочнике по Python?;Указывают на то, что рассматриваемая тема относится ко всем общеупотребительным выпускам Python в рамках версий 2.Х и 3.Х.
Где рекомендуется искать информацию о будущих изменениях в Python?;В разделе “What’s New in Python” документации на Python по адресу http://docs.python.org/3/whatsnew/index.html.
Какой общий формат командной строки для запуска программ на Python?;python [параметр*] [ файл сценария | -с команда | -m о модуль | - ] [arg*]
Что обозначает 'python' в командной строке при запуске программ?;Интерпретатор языка Python, исполняемый как по полностью указанному пути к каталогу, так и по слову python, зарезервированному в командной оболочке системы.
Где обычно указываются 'параметры' командной строки (параметр) при запуске программы Python?;Обычно указываются перед именем исполняемой программы.
Где обычно указываются 'аргументы' командной строки (arg) при запуске программы Python?;Обычно указываются после имени исполняемой программы.
Что делает параметр командной строки Python '-b'?;Выдает предупреждения об ошибках при вызове функции str() с объектом типа bytes или bytearray без аргумента, обозначающего способ кодирования символов, а также при сравнении данных типа bytes или bytearray с данными типа str.
Что делает параметр командной строки Python '--bb'?;Выдает непосредственно ошибки (вместо предупреждений) в ситуациях, описанных для параметра '-b'.
Что делает параметр командной строки Python '-B'?;Не записывает байт-код в файлы с расширением .pyc или .pyo при импорте.
Что делает параметр командной строки Python '-d'?;Активизирует вывод результатов отладки синтаксического анализатора (служит для разработчиков ядра интерпретатора Python).
Что делает параметр командной строки Python '-E'?;Игнорирует переменные окружения Python (например, переменную PYTHONPATH).
Что делает параметр командной строки Python '-h'?;Выводит вспомогательное сообщение и выходит из программы.
Что делает параметр командной строки Python '-i'?;Входит в диалоговый режим работы после выполнения сценария (удобен для отладки программ после отказов).
Что делает параметр командной строки Python '-O'?;Оптимизирует генерируемый байт-код, создавая и используя файлы с расширением .pyc для хранения байт-кода.
Что делает параметр командной строки Python '-OO'?;Действует подобно параметру '-O', но при его указании удаляются также строки документации из байт-кода.
Что делает параметр командной строки Python '-q'?;Не выводит сообщение о версии и авторском праве при запуске программы.
Каково назначение опции командной строки `-в` (Cyrillic `в`, соответствующее `-b`), поддерживаемой с Python 3.2?;Она запрещает указывать местный каталог пользователя в пути поиска модулей в переменной `sys.path`.
